trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,actions-0,actions-1,actions-2,actions-3,actions-4
261,False,"{'a': 0.5, 'e': 0.27028632580258244}",25,14,16.44263514680052,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1,11,0,0,0,0
262,False,"{'a': 0.5, 'e': 0.2689348941735695}",25,12,26.97068049748353,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1,13,0,0,0,0
263,False,"{'a': 0.5, 'e': 0.2675902197027017}",25,7,-79.85406331836555,"{0: 13, 1: 1, 2: 1, 3: 2, 4: 1}",1,13,1,1,2,1
264,False,"{'a': 0.5, 'e': 0.26625226860418816}",25,5,12.491045409729177,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1,18,1,1,0,0
265,False,"{'a': 0.5, 'e': 0.26492100726116724}",20,6,-8.139625440095442,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1,12,0,1,1,0
266,False,"{'a': 0.5, 'e': 0.26359640222486136}",20,14,9.459566643180901,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1,6,0,0,0,0
267,False,"{'a': 0.5, 'e': 0.2622784202137371}",25,14,-3.9759889584669867,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1,9,0,2,0,0
268,False,"{'a': 0.5, 'e': 0.26096702811266836}",25,14,6.876446016786297,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1,10,0,1,0,0
269,False,"{'a': 0.5, 'e': 0.259662192972105}",20,2,-94.549236812057,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 2}",1,13,0,3,0,2
270,False,"{'a': 0.5, 'e': 0.2583638820072445}",30,20,-21.531638853383573,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1,9,0,0,0,1
