trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,actions-0,actions-1,actions-2,actions-3,actions-4
285,False,"{'a': 0.5, 'e': 0.23965031961335992}",30,8,-22.124775983053507,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1,20,0,1,0,1
286,False,"{'a': 0.5, 'e': 0.23845206801529312}",25,7,-67.43196990230311,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 1}",1,13,0,3,1,1
287,False,"{'a': 0.5, 'e': 0.23725980767521665}",20,2,23.819054879848597,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1,18,0,0,0,0
288,False,"{'a': 0.5, 'e': 0.23607350863684057}",25,8,29.676359556500344,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1,17,0,0,0,0
289,False,"{'a': 0.5, 'e': 0.23489314109365636}",35,0,-22.240852068358436,"{0: 31, 1: 1, 2: 2, 3: 0, 4: 1}",0,31,1,2,0,1
290,False,"{'a': 0.5, 'e': 0.23371867538818808}",20,0,-21.609863327222854,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0,18,0,1,0,1
291,False,"{'a': 0.5, 'e': 0.23255008201124713}",25,1,24.97100780428742,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1,23,0,1,0,0
292,False,"{'a': 0.5, 'e': 0.2313873316011909}",20,9,11.736390772943293,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1,10,1,0,0,0
293,False,"{'a': 0.5, 'e': 0.23023039494318495}",20,1,29.733322426509737,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1,19,0,0,0,0
294,False,"{'a': 0.5, 'e': 0.22907924296846902}",25,0,15.446363349423146,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0,23,0,2,0,0
295,False,"{'a': 0.5, 'e': 0.22793384675362668}",25,3,11.036231182631779,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1,20,0,2,0,0
296,False,"{'a': 0.5, 'e': 0.22679417751985856}",25,7,23.225395327717646,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1,17,0,1,0,0
297,False,"{'a': 0.5, 'e': 0.22566020663225925}",20,2,-31.50133686386947,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1,15,1,1,0,1
298,False,"{'a': 0.5, 'e': 0.22453190559909794}",20,12,4.263591281241451,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1,7,0,1,0,0
299,False,"{'a': 0.5, 'e': 0.22340924607110246}",20,1,2.9230519125123626,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1,18,0,0,1,0
300,False,"{'a': 0.5, 'e': 0.22229219984074694}",25,2,39.24995077055875,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1,23,0,0,0,0
301,False,"{'a': 0.5, 'e': 0.2211807388415432}",20,6,-2.159903349115652,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1,13,0,0,1,0
302,False,"{'a': 0.5, 'e': 0.2200748351473355}",25,0,-42.61962767070189,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0,19,0,5,1,0
303,False,"{'a': 0.5, 'e': 0.2189744609715988}",20,0,-4.808212890206177,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0,17,1,2,0,0
304,False,"{'a': 0.5, 'e': 0.21787958866674081}",20,11,-0.7917321752390603,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1,7,1,1,0,0
305,False,"{'a': 0.5, 'e': 0.2167901907234071}",25,0,-2.366742596340939,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0,22,1,2,0,0
306,False,"{'a': 0.5, 'e': 0.2157062397697901}",20,8,-22.08048139854035,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1,9,1,1,1,0
307,False,"{'a': 0.5, 'e': 0.21462770857094113}",25,12,22.07309281204713,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1,13,0,0,0,0
308,False,"{'a': 0.5, 'e': 0.21355457002808642}",20,3,23.29648840885451,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1,17,0,0,0,0
309,False,"{'a': 0.5, 'e': 0.212486797177946}",20,12,6.164492938915454,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1,7,0,1,0,0
310,False,"{'a': 0.5, 'e': 0.21142436319205626}",25,4,13.41213191626443,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 0}",1,20,0,0,1,0
311,False,"{'a': 0.5, 'e': 0.21036724137609597}",20,0,-10.55852286742876,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0,16,0,4,0,0
312,False,"{'a': 0.5, 'e': 0.20931540516921548}",30,17,15.947482314165578,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1,12,0,1,0,0
313,False,"{'a': 0.5, 'e': 0.20826882814336942}",25,0,25.131895091334098,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0,24,1,0,0,0
